Index,Filename,Analysis_Summary,Target_Subject,Degradation_Type,Suggested_Operation,Target
17,00034.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
18,00036.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
19,00037.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
20,00038.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
21,00039.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
22,00041.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
23,00044.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
24,00050.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
25,00052.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
26,00053.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
27,00056.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
28,00058.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
29,00059.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
30,00060.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
31,00061.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
32,00064.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
33,00066.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
34,00068.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
35,00069.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
36,00070.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
37,00071.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
38,00072.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
39,00074.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
40,00075.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
41,00079.png,Car has Motion Blur,Car,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of car is clearly visible."
42,00082.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
43,00084.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
44,00087.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
45,00090.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
46,00091.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
47,00092.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
48,00093.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
49,00094.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
50,00095.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
51,00096.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
52,00097.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
53,00099.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
54,00100.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
55,00101.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
56,00102.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
57,00104.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
58,00105.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
59,00106.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
60,00108.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
61,00109.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
62,00111.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
63,00112.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
64,00113.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
65,00114.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
66,00116.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
67,00117.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
68,00118.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
69,00119.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
70,00120.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
71,00121.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
72,00122.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
73,00123.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
74,00124.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
75,00126.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
76,00127.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
77,00128.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
78,00129.png,Sky has Overexposure,Sky,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of sky is clearly visible."
79,00131.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
80,00133.png,Road has Motion Blur,Road,Motion Blur,Sharpen,"The motion Blur in the fusion image has been sharpen, and the outline of road is clearly visible."
81,00134.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
82,00135.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
83,00136.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
84,00138.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
85,00140.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
86,00143.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
87,00144.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
88,00145.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
89,00146.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
90,00147.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
91,00148.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
92,00149.png,Sky has Overexposure,Sky,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of sky is clearly visible."
93,00150.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
94,00151.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
95,00153.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
96,00156.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
97,00157.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
98,00158.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
99,00159.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
100,00160.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
101,00161.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
102,00162.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
103,00164.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
104,00165.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
105,00167.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
106,00168.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
107,00169.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
108,00170.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
109,00172.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
110,00173.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
111,00174.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
112,00175.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
113,00176.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
114,00177.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
115,00181.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
116,00183.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
117,00184.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
118,00185.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
119,00186.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
120,00187.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
121,00189.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
122,00191.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
123,00193.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
124,00197.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
125,00198.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
126,00199.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
127,00201.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
128,00203.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
129,00204.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
130,00205.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
131,00206.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
132,00207.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
133,00208.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
134,00211.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
135,00212.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
136,00213.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
137,00217.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
138,00219.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
139,00220.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
140,00221.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
141,00222.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
142,00223.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
143,00224.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
144,00226.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
145,00227.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
146,00228.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
147,00229.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
148,00230.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
149,00231.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
150,00232.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
151,00233.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
152,00235.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
153,00239.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
154,00240.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
155,00241.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
156,00242.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
157,00243.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
158,00244.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
159,00245.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
160,00246.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
161,00247.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
162,00248.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
163,00255.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
164,00256.png,Car has Low Contrast,Car,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of car is clearly visible."
165,00257.png,Car has Low Contrast,Car,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of car is clearly visible."
166,00258.png,Car has Low Contrast,Car,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of car is clearly visible."
167,00259.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
168,00260.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
169,00261.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
170,00262.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
171,00263.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
172,00264.png,Car has Low Contrast,Car,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of car is clearly visible."
173,00265.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
174,00267.png,Car has Low Contrast,Car,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of car is clearly visible."
175,00269.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
176,00270.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
177,00271.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
178,00272.png,Car has Underexposure,Car,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of car is clearly visible."
179,00273.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
180,00274.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
181,00275.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
182,00277.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
183,00280.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
184,00283.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
185,00288.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
186,00289.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
187,00291.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
188,00294.png,Car has Overexposure,Car,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of car is clearly visible."
189,00296.png,Streetlight has Overexposure,Streetlight,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of streetlight is clearly visible."
190,00298.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
191,00299.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
192,00300.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
193,00301.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
194,00302.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
195,00303.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
196,00306.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
197,00307.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
198,00308.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
199,00309.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
200,00310.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
201,00311.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
202,00320.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
203,00321.png,Road has Underexposure,Road,Underexposure,Increase Brightness,"The underexposure in the fusion image has been enhanced, and the outline of road is clearly visible."
204,00324.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
205,00326.png,Road has Overexposure,Road,Overexposure,Decrease Brightness,"The overexposure in the fusion image has been repaired, and the outline of road is clearly visible."
206,00332.png,Road has Low Contrast,Road,Low Contrast,Enhance Contrast,"The contrast in the fusion image has been enhanced, and the outline of road is clearly visible."
